Direction,Start Time,End Time,Station,Weight,Estimated Passengers,Passengers per Minute,Headway
0,7:10,7:30,1,2,433,21.65,10
0,7:10,7:30,2,1,216,10.82,10
0,7:10,7:30,3,1.5,325,16.24,10
0,7:10,7:30,4,1,216,10.82,10
0,7:10,7:30,5,1.5,325,16.24,10
0,7:10,7:30,6,1.5,325,16.24,10
0,7:10,7:30,7,1.5,325,16.24,10
0,7:10,7:30,8,0.5,108,5.41,10
0,7:10,7:30,9,1,216,10.82,10
0,7:10,7:30,10,1,216,10.82,10
0,7:10,7:30,11,2,433,21.65,10
0,7:10,7:30,12,1,216,10.82,10
0,7:10,7:30,13,1,216,10.82,10
0,7:10,7:30,14,0.5,108,5.41,10
0,7:10,7:30,15,0.5,108,5.41,10
0,7:10,7:30,16,2,433,21.65,10
0,7:31,11:36,1,2,6495,26.51,8
0,7:31,11:36,2,1,3247,13.25,8
0,7:31,11:36,3,1.5,4871,19.88,8
0,7:31,11:36,4,1,3247,13.25,8
0,7:31,11:36,5,1.5,4871,19.88,8
0,7:31,11:36,6,1.5,4871,19.88,8
0,7:31,11:36,7,1.5,4871,19.88,8
0,7:31,11:36,8,0.5,1624,6.63,8
0,7:31,11:36,9,1,3247,13.25,8
0,7:31,11:36,10,1,3247,13.25,8
0,7:31,11:36,11,2,6495,26.51,8
0,7:31,11:36,12,1,3247,13.25,8
0,7:31,11:36,13,1,3247,13.25,8
0,7:31,11:36,14,0.5,1624,6.63,8
0,7:31,11:36,15,0.5,1624,6.63,8
0,7:31,11:36,16,2,6495,26.51,8
0,11:37,14:36,1,2,3680,20.56,10
0,11:37,14:36,2,1,1840,10.28,10
0,11:37,14:36,3,1.5,2760,15.42,10
0,11:37,14:36,4,1,1840,10.28,10
0,11:37,14:36,5,1.5,2760,15.42,10
0,11:37,14:36,6,1.5,2760,15.42,10
0,11:37,14:36,7,1.5,2760,15.42,10
0,11:37,14:36,8,0.5,920,5.14,10
0,11:37,14:36,9,1,1840,10.28,10
0,11:37,14:36,10,1,1840,10.28,10
0,11:37,14:36,11,2,3680,20.56,10
0,11:37,14:36,12,1,1840,10.28,10
0,11:37,14:36,13,1,1840,10.28,10
0,11:37,14:36,14,0.5,920,5.14,10
0,11:37,14:36,15,0.5,920,5.14,10
0,11:37,14:36,16,2,3680,20.56,10
0,14:37,20:20,1,2,9093,26.51,8
0,14:37,20:20,2,1,4546,13.25,8
0,14:37,20:20,3,1.5,6820,19.88,8
0,14:37,20:20,4,1,4546,13.25,8
0,14:37,20:20,5,1.5,6820,19.88,8
0,14:37,20:20,6,1.5,6820,19.88,8
0,14:37,20:20,7,1.5,6820,19.88,8
0,14:37,20:20,8,0.5,2273,6.63,8
0,14:37,20:20,9,1,4546,13.25,8
0,14:37,20:20,10,1,4546,13.25,8
0,14:37,20:20,11,2,9093,26.51,8
0,14:37,20:20,12,1,4546,13.25,8
0,14:37,20:20,13,1,4546,13.25,8
0,14:37,20:20,14,0.5,2273,6.63,8
0,14:37,20:20,15,0.5,2273,6.63,8
0,14:37,20:20,16,2,9093,26.51,8
0,20:21,21:00,1,2,649,16.65,10
0,20:21,21:00,2,1,325,8.33,10
0,20:21,21:00,3,1.5,487,12.49,10
0,20:21,21:00,4,1,325,8.33,10
0,20:21,21:00,5,1.5,487,12.49,10
0,20:21,21:00,6,1.5,487,12.49,10
0,20:21,21:00,7,1.5,487,12.49,10
0,20:21,21:00,8,0.5,162,4.16,10
0,20:21,21:00,9,1,325,8.33,10
0,20:21,21:00,10,1,325,8.33,10
0,20:21,21:00,11,2,649,16.65,10
0,20:21,21:00,12,1,325,8.33,10
0,20:21,21:00,13,1,325,8.33,10
0,20:21,21:00,14,0.5,162,4.16,10
0,20:21,21:00,15,0.5,162,4.16,10
0,20:21,21:00,16,2,649,16.65,10
1,7:30,8:00,1,2,649,21.65,10
1,7:30,8:00,2,1,325,10.82,10
1,7:30,8:00,3,1.5,487,16.24,10
1,7:30,8:00,4,1,325,10.82,10
1,7:30,8:00,5,1.5,487,16.24,10
1,7:30,8:00,6,1.5,487,16.24,10
