hour,headway_schedule,avg_waiting_time,served,leftover,arrived,fitness,fleet_size,schedule_type
0,"[12, 12, 12, 12, 12]",6.0,2040,0,2040,8421.0,5,static
1,"[12, 12, 12, 12, 12]",6.0,2260,0,2260,8421.0,5,static
2,"[12, 12, 12, 12, 12]",6.0,2285,0,2285,8421.0,5,static
3,"[12, 12, 12, 12, 12]",6.0,2245,0,2245,8421.0,5,static
4,"[12, 12, 12, 12, 12]",6.0,2030,0,2030,8421.0,5,static
5,"[12, 12, 12, 12, 12]",6.0,1815,0,1815,8421.0,5,static
6,"[12, 12, 12, 12, 12]",6.0,1800,0,1800,8421.0,5,static
7,"[12, 12, 12, 12, 12]",6.0,2020,0,2020,8421.0,5,static
8,"[12, 12, 12, 12, 12]",6.0,2275,0,2275,8421.0,5,static
9,"[12, 12, 12, 12, 12]",6.0,2260,0,2260,8421.0,5,static
10,"[12, 12, 12, 12, 12]",6.0,2265,0,2265,8421.0,5,static
11,"[12, 12, 12, 12, 12]",6.0,2260,0,2260,8421.0,5,static
12,"[12, 12, 12, 12, 12]",6.0,2250,0,2250,8421.0,5,static
13,"[12, 12, 12, 12, 12]",6.0,2045,0,2045,8421.0,5,static
14,"[12, 12, 12, 12, 12]",6.0,935,0,935,8421.0,5,static
0,"[12, 13, 12, 12, 11]",6.016666666666667,2040,0,2040,8421.058333333332,5,dynamic
1,"[12, 12, 12, 12, 12]",6.0,2260,0,2260,8421.0,5,dynamic
2,"[12, 12, 12, 12, 12]",6.0,2285,0,2285,8421.0,5,dynamic
3,"[12, 12, 12, 12, 12]",6.0,2245,0,2245,8421.0,5,dynamic
4,"[12, 12, 12, 12, 12]",6.0,2030,0,2030,8421.0,5,dynamic
5,"[12, 12, 12, 12, 12]",6.0,1815,0,1815,8421.0,5,dynamic
6,"[12, 12, 12, 12, 12]",6.0,1800,0,1800,8421.0,5,dynamic
7,"[12, 12, 12, 12, 12]",6.0,2020,0,2020,8421.0,5,dynamic
8,"[12, 12, 12, 12, 12]",6.0,2275,0,2275,8421.0,5,dynamic
9,"[12, 12, 12, 12, 12]",6.0,2260,0,2260,8421.0,5,dynamic
10,"[12, 12, 12, 12, 12]",6.0,2265,0,2265,8421.0,5,dynamic
11,"[12, 12, 12, 12, 12]",6.0,2260,0,2260,8421.0,5,dynamic
12,"[12, 13, 12, 12, 11]",6.016674077367719,2249,0,2249,8421.058359270786,5,dynamic
13,"[12, 12, 12, 12, 12]",6.0,2045,0,2045,8421.0,5,dynamic
14,"[12, 12, 12, 12, 12]",6.0,935,0,935,8421.0,5,dynamic
0,"[10, 10, 10, 10, 10, 10]",5.0,2040,0,2040,10097.5,6,static
1,"[10, 10, 10, 10, 10, 10]",5.0,2262,0,2262,10097.5,6,static
2,"[10, 10, 10, 10, 10, 10]",5.0,2280,0,2280,10097.5,6,static
3,"[10, 10, 10, 10, 10, 10]",5.0,2244,0,2244,10097.5,6,static
4,"[10, 10, 10, 10, 10, 10]",5.0,2028,0,2028,10097.5,6,static
5,"[10, 10, 10, 10, 10, 10]",5.0,1818,0,1818,10097.5,6,static
6,"[10, 10, 10, 10, 10, 10]",5.0,1800,0,1800,10097.5,6,static
7,"[10, 10, 10, 10, 10, 10]",5.0,2022,0,2022,10097.5,6,static
8,"[10, 10, 10, 10, 10, 10]",5.0,2274,0,2274,10097.5,6,static
9,"[10, 10, 10, 10, 10, 10]",5.0,2262,0,2262,10097.5,6,static
10,"[10, 10, 10, 10, 10, 10]",5.0,2262,0,2262,10097.5,6,static
11,"[10, 10, 10, 10, 10, 10]",5.0,2262,0,2262,10097.5,6,static
12,"[10, 10, 10, 10, 10, 10]",5.0,2250,0,2250,10097.5,6,static
13,"[10, 10, 10, 10, 10, 10]",5.0,2046,0,2046,10097.5,6,static
14,"[10, 10, 10, 10, 10, 10]",5.0,936,0,936,10097.5,6,static
0,"[10, 10, 10, 10, 10, 10]",5.0,2040,0,2040,10097.5,6,dynamic
1,"[10, 10, 10, 11, 10, 9]",5.016799292661362,2262,0,2262,10097.558797524314,6,dynamic
2,"[10, 10, 10, 10, 10, 10]",5.0,2280,0,2280,10097.5,6,dynamic
3,"[10, 10, 10, 11, 10, 9]",5.016488413547237,2244,0,2244,10097.557709447416,6,dynamic
4,"[11, 10, 10, 10, 10, 9]",5.016765285996056,2028,0,2028,10097.558678500985,6,dynamic
