Entry,Exit,Origin,Dest,ID
0,6.16,S01UN,S04PL,RP2243
0,8.95,S01UN,S04PL,RP2654
0,13.91,S01UN,S05M11,RP5349
0,16.51,S01UN,S05M11,RP5928
0,8.54,S01UN,S05M11,RP4436
0,12.67,S01UN,S06M10,RP4657
0,13.36,S01UN,S06M10,RP2429
0,11.53,S01UN,S06M10,RP9166
0,10.47,S01UN,S06M10,RP3163
0,18.80,S01UN,S06M10,RP8224
0,18.94,S01UN,S07KP,RP4257
0,21.99,S01UN,S08SP,RP9488
0,23.52,S01UN,S09AG,RP3415
0,16.68,S01UN,S09AG,RP7344
0,17.64,S01UN,S09AG,RP7859
0,27.78,S01UN,S10BS,RP7586
0,21.94,S01UN,S11FG,RP2283
0,27.11,S01UN,S12KB,RP8820
0,22.25,S01UN,S12KB,RP9816
0,31.71,S01UN,S12KB,RP4822
0,30.62,S01UN,S13SB,RP6642
0,32.79,S01UN,S13SB,RP1603
0,26.23,S01UN,S14DU,RP4747
0,29.52,S01UN,S14DU,RP5680
0,31.43,S01UN,S15BS,RP8103
0,35.96,S01UN,S15BS,RP9313
0,36.71,S01UN,S15BS,RP1735
0,32.79,S01UN,S15BS,RP3410
0,38.76,S01UN,S16MJ,RP7508
0,36.94,S01UN,S16MJ,RP9769
0,32.50,S01UN,S16MJ,RP9922
0,37.38,S01UN,S16MJ,RP6577
1,5.81,S01UN,S03US,RP7098
1,14.89,S01UN,S04PL,RP7011
1,12.10,S01UN,S05M11,RP2865
1,9.12,S01UN,S05M11,RP2096
1,18.05,S01UN,S06M10,RP4475
1,17.48,S01UN,S06M10,RP4348
1,16.84,S01UN,S06M10,RP9609
1,12.44,S01UN,S06M10,RP7508
1,13.10,S01UN,S06M10,RP6634
1,13.83,S01UN,S07KP,RP2522
1,15.00,S01UN,S08SP,RP3780
1,22.30,S01UN,S09AG,RP6196
1,21.72,S01UN,S09AG,RP4872
1,21.94,S01UN,S09AG,RP8914
1,25.35,S01UN,S11FG,RP7865
1,23.34,S01UN,S11FG,RP8823
1,24.58,S01UN,S12KB,RP5059
1,28.76,S01UN,S12KB,RP2099
1,32.01,S01UN,S12KB,RP1839
1,31.07,S01UN,S13SB,RP4165
1,27.12,S01UN,S13SB,RP1793
1,32.88,S01UN,S14DU,RP1816
1,32.91,S01UN,S15BS,RP9752
1,29.65,S01UN,S15BS,RP3730
1,29.45,S01UN,S15BS,RP9496
1,35.58,S01UN,S15BS,RP1409
1,33.03,S01UN,S16MJ,RP7395
1,36.05,S01UN,S16MJ,RP2986
1,33.13,S01UN,S16MJ,RP7517
1,34.62,S01UN,S16MJ,RP7830
2,17.27,S01UN,S04PL,RP8037
2,9.85,S01UN,S04PL,RP9464
2,18.48,S01UN,S05M11,RP7738
2,19.39,S01UN,S05M11,RP5935
2,19.96,S01UN,S06M10,RP1929
2,21.89,S01UN,S06M10,RP3162
2,20.37,S01UN,S06M10,RP9389
2,15.66,S01UN,S06M10,RP2594
2,19.86,S01UN,S06M10,RP6424
2,23.87,S01UN,S07KP,RP8673
2,19.97,S01UN,S08SP,RP4512
2,24.11,S01UN,S08SP,RP2292
2,21.52,S01UN,S09AG,RP1606
2,24.69,S01UN,S09AG,RP8550
2,21.53,S01UN,S09AG,RP2956
2,25.25,S01UN,S11FG,RP9995
2,26.71,S01UN,S11FG,RP1993
2,25.61,S01UN,S12KB,RP8831
2,24.43,S01UN,S12KB,RP2468
2,29.39,S01UN,S13SB,RP8648
2,35.53,S01UN,S14DU,RP3463
2,37.32,S01UN,S14DU,RP8629
2,32.60,S01UN,S15BS,RP2934
2,39.46,S01UN,S15BS,RP4525
2,33.17,S01UN,S15BS,RP8503
2,39.52,S01UN,S15BS,RP4982
2,36.70,S01UN,S16MJ,RP2192
2,39.22,S01UN,S16MJ,RP9935
2,41.76,S01UN,S16MJ,RP2891
2,36.25,S01UN,S16MJ,RP5293
3,9.34,S01UN,S04PL,RP6585
3,14.22,S01UN,S04PL,RP8529
3,15.17,S01UN,S05M11,RP5451
3,20.46,S01UN,S05M11,RP6244
3,18.04,S01UN,S06M10,RP7544
3,16.67,S01UN,S06M10,RP4014
3,19.98,S01UN,S06M10,RP1770
3,16.27,S01UN,S06M10,RP4104
3,17.56,S01UN,S06M10,RP3691
3,15.62,S01UN,S07KP,RP9439
3,18.65,S01UN,S08SP,RP5691
3,24.26,S01UN,S08SP,RP6324
3,20.95,S01UN,S09AG,RP5218
3,20.49,S01UN,S09AG,RP5573
3,24.40,S01UN,S09AG,RP9688
3,25.47,S01UN,S11FG,RP5180
3,30.62,S01UN,S11FG,RP3172
3,30.94,S01UN,S12KB,RP4181
3,27.56,S01UN,S12KB,RP9799
3,31.78,S01UN,S13SB,RP6941
3,27.79,S01UN,S13SB,RP7037
3,33.10,S01UN,S14DU,RP9499
3,37.96,S01UN,S14DU,RP5521
3,38.99,S01UN,S15BS,RP3921
3,33.74,S01UN,S15BS,RP8895
3,38.72,S01UN,S15BS,RP7774
3,37.74,S01UN,S15BS,RP2507
3,34.46,S01UN,S16MJ,RP2840
3,34.07,S01UN,S16MJ,RP8235
3,36.28,S01UN,S16MJ,RP6365
3,37.61,S01UN,S16MJ,RP7855
4,19.30,S01UN,S04PL,RP2665
4,13.27,S01UN,S05M11,RP4069
4,18.43,S01UN,S05M11,RP2229
4,23.15,S01UN,S06M10,RP9974
4,16.75,S01UN,S06M10,RP2934
4,19.59,S01UN,S06M10,RP8967
4,18.36,S01UN,S06M10,RP5952
4,19.54,S01UN,S07KP,RP4794
4,26.40,S01UN,S08SP,RP6352
4,27.09,S01UN,S08SP,RP7824
4,27.47,S01UN,S09AG,RP3156
4,26.04,S01UN,S09AG,RP5577
4,21.32,S01UN,S09AG,RP8682
4,29.15,S01UN,S11FG,RP9912
4,29.95,S01UN,S11FG,RP9367
4,35.35,S01UN,S12KB,RP5070
4,33.64,S01UN,S12KB,RP7986
4,35.39,S01UN,S12KB,RP2762
4,30.70,S01UN,S13SB,RP1129
4,31.93,S01UN,S13SB,RP3035
4,31.05,S01UN,S14DU,RP3293
4,33.94,S01UN,S15BS,RP7692
4,36.56,S01UN,S15BS,RP3391
4,41.27,S01UN,S15BS,RP2537
4,43.20,S01UN,S16MJ,RP6446
4,41.56,S01UN,S16MJ,RP9910
4,36.91,S01UN,S16MJ,RP1492
4,37.94,S01UN,S16MJ,RP2823
5,13.53,S01UN,S04PL,RP3918
5,14.58,S01UN,S05M11,RP8579
5,20.12,S01UN,S05M11,RP5119
5,22.56,S01UN,S05M11,RP9842
5,21.73,S01UN,S06M10,RP3951
5,19.23,S01UN,S06M10,RP9854
5,23.80,S01UN,S06M10,RP1136
5,16.28,S01UN,S06M10,RP2517
5,24.33,S01UN,S06M10,RP6796
5,23.57,S01UN,S07KP,RP6575
5,21.99,S01UN,S08SP,RP8735
5,20.36,S01UN,S08SP,RP2148
5,25.79,S01UN,S09AG,RP5979
5,21.36,S01UN,S09AG,RP9706
5,30.92,S01UN,S09AG,RP7392
5,26.57,S01UN,S10BS,RP6689
5,27.13,S01UN,S11FG,RP4427
5,27.62,S01UN,S11FG,RP4600
5,29.88,S01UN,S12KB,RP6150
5,31.96,S01UN,S12KB,RP3928
5,34.73,S01UN,S13SB,RP8825
5,32.51,S01UN,S14DU,RP6167
5,42.72,S01UN,S15BS,RP2854
5,41.38,S01UN,S15BS,RP8425
5,42.68,S01UN,S15BS,RP5567
5,35.93,S01UN,S15BS,RP4081
5,42.55,S01UN,S16MJ,RP9769
5,43.81,S01UN,S16MJ,RP7876
5,37.00,S01UN,S16MJ,RP1985
5,37.40,S01UN,S16MJ,RP4090
6,14.68,S01UN,S04PL,RP7448
6,21.90,S01UN,S04PL,RP8235
6,19.18,S01UN,S05M11,RP4844
6,20.05,S01UN,S05M11,RP1138
6,24.71,S01UN,S06M10,RP1582
6,18.87,S01UN,S06M10,RP4351
6,16.07,S01UN,S06M10,RP2203
6,16.67,S01UN,S06M10,RP4717
6,23.76,S01UN,S06M10,RP6058
6,20.73,S01UN,S07KP,RP7871
6,24.39,S01UN,S08SP,RP8752
6,31.05,S01UN,S09AG,RP6780
6,24.64,S01UN,S09AG,RP4112
6,26.62,S01UN,S09AG,RP5451
6,27.33,S01UN,S11FG,RP9789
6,29.42,S01UN,S11FG,RP3626
6,37.49,S01UN,S12KB,RP2540
6,30.14,S01UN,S12KB,RP1518
6,37.07,S01UN,S12KB,RP3393
6,35.28,S01UN,S13SB,RP2360
6,39.17,S01UN,S13SB,RP1834
6,39.89,S01UN,S14DU,RP6954
6,41.70,S01UN,S14DU,RP7817
6,39.06,S01UN,S15BS,RP5718
6,43.37,S01UN,S15BS,RP1329
6,37.86,S01UN,S15BS,RP5639
6,35.53,S01UN,S15BS,RP9296
6,44.50,S01UN,S16MJ,RP9927
6,39.19,S01UN,S16MJ,RP7386
6,45.69,S01UN,S16MJ,RP9401
6,39.61,S01UN,S16MJ,RP8901
7,15.64,S01UN,S04PL,RP5889
7,14.58,S01UN,S04PL,RP4958
7,18.40,S01UN,S05M11,RP5619
7,22.58,S01UN,S05M11,RP5847
7,20.82,S01UN,S06M10,RP9057
7,25.70,S01UN,S06M10,RP6713
7,26.47,S01UN,S06M10,RP7439
7,20.36,S01UN,S06M10,RP8642
7,25.31,S01UN,S07KP,RP5814
7,28.14,S01UN,S08SP,RP7061
7,31.63,S01UN,S09AG,RP9049
7,23.27,S01UN,S09AG,RP4541
7,32.67,S01UN,S09AG,RP4019
7,27.85,S01UN,S11FG,RP8855
7,36.56,S01UN,S11FG,RP3046
7,35.64,S01UN,S12KB,RP9758
7,30.99,S01UN,S12KB,RP8504
7,31.57,S01UN,S13SB,RP2825
7,35.23,S01UN,S13SB,RP4076
7,40.11,S01UN,S14DU,RP5396
7,33.42,S01UN,S14DU,RP5322
7,38.39,S01UN,S15BS,RP2066
7,36.17,S01UN,S15BS,RP4910
7,39.11,S01UN,S15BS,RP7533
7,44.91,S01UN,S15BS,RP7543
7,40.96,S01UN,S16MJ,RP9026
7,43.83,S01UN,S16MJ,RP5834
7,37.32,S01UN,S16MJ,RP8189
7,38.07,S01UN,S16MJ,RP3495
8,15.11,S01UN,S04PL,RP9683
8,16.91,S01UN,S05M11,RP5163
8,20.83,S01UN,S05M11,RP2773
8,25.06,S01UN,S06M10,RP7233
8,20.40,S01UN,S06M10,RP6481
