Entry,Exit,Origin,Dest,ID
0,6.68,S01UN,S04PL,RP9216
0,7.51,S01UN,S04PL,RP7666
0,14.37,S01UN,S05M11,RP9953
0,16.13,S01UN,S05M11,RP9445
0,14.94,S01UN,S06M10,RP9359
0,13.83,S01UN,S06M10,RP3157
0,16.73,S01UN,S06M10,RP3353
0,14.83,S01UN,S06M10,RP3634
0,11.77,S01UN,S06M10,RP9131
0,19.61,S01UN,S07KP,RP7836
0,16.71,S01UN,S08SP,RP7946
0,21.39,S01UN,S08SP,RP8314
0,21.32,S01UN,S09AG,RP1525
0,21.83,S01UN,S09AG,RP4656
0,23.00,S01UN,S09AG,RP8317
0,22.81,S01UN,S10BS,RP9532
0,21.63,S01UN,S11FG,RP3060
0,24.53,S01UN,S11FG,RP1970
0,23.44,S01UN,S12KB,RP7795
0,30.99,S01UN,S12KB,RP7441
0,31.20,S01UN,S13SB,RP9716
0,28.57,S01UN,S13SB,RP6225
0,29.94,S01UN,S14DU,RP2390
0,26.74,S01UN,S14DU,RP3205
0,29.82,S01UN,S15BS,RP5042
0,30.51,S01UN,S15BS,RP3668
0,31.06,S01UN,S15BS,RP4046
0,36.95,S01UN,S15BS,RP9073
0,35.35,S01UN,S16MJ,RP7937
0,37.71,S01UN,S16MJ,RP1038
0,33.10,S01UN,S16MJ,RP8422
0,35.22,S01UN,S16MJ,RP9227
1,11.06,S01UN,S04PL,RP2614
1,16.56,S01UN,S04PL,RP4702
1,11.16,S01UN,S05M11,RP4098
1,18.09,S01UN,S05M11,RP8007
1,19.54,S01UN,S06M10,RP6087
1,11.44,S01UN,S06M10,RP1295
1,16.64,S01UN,S06M10,RP3749
1,11.17,S01UN,S06M10,RP6707
1,20.35,S01UN,S06M10,RP2850
1,14.59,S01UN,S07KP,RP5471
1,23.90,S01UN,S08SP,RP8785
1,23.85,S01UN,S09AG,RP7836
1,17.46,S01UN,S09AG,RP9509
1,26.44,S01UN,S09AG,RP8602
1,28.10,S01UN,S10BS,RP1204
1,26.80,S01UN,S11FG,RP9188
1,29.91,S01UN,S11FG,RP6640
1,23.05,S01UN,S12KB,RP1957
1,30.49,S01UN,S12KB,RP8291
1,29.47,S01UN,S13SB,RP9732
1,29.65,S01UN,S13SB,RP5382
1,31.46,S01UN,S14DU,RP3495
1,28.75,S01UN,S14DU,RP7224
1,36.03,S01UN,S15BS,RP9381
1,37.58,S01UN,S15BS,RP2209
1,32.10,S01UN,S15BS,RP9764
1,33.94,S01UN,S15BS,RP5292
1,38.39,S01UN,S16MJ,RP7879
1,32.29,S01UN,S16MJ,RP2373
1,39.00,S01UN,S16MJ,RP1996
1,39.13,S01UN,S16MJ,RP4111
2,16.70,S01UN,S04PL,RP7163
2,15.34,S01UN,S05M11,RP6887
2,18.15,S01UN,S05M11,RP5355
2,19.87,S01UN,S06M10,RP1249
2,15.40,S01UN,S06M10,RP3386
2,13.05,S01UN,S06M10,RP5034
2,15.85,S01UN,S06M10,RP3545
2,12.12,S01UN,S06M10,RP8162
2,17.54,S01UN,S07KP,RP8026
2,18.41,S01UN,S08SP,RP1289
2,24.85,S01UN,S09AG,RP8876
2,22.22,S01UN,S09AG,RP8720
2,21.12,S01UN,S09AG,RP5235
2,22.92,S01UN,S10BS,RP3796
2,22.72,S01UN,S11FG,RP6101
2,30.11,S01UN,S11FG,RP9180
2,29.45,S01UN,S12KB,RP1585
2,26.38,S01UN,S12KB,RP4624
2,35.91,S01UN,S13SB,RP3876
2,32.95,S01UN,S14DU,RP6596
2,29.41,S01UN,S14DU,RP1349
2,30.92,S01UN,S15BS,RP7093
2,31.26,S01UN,S15BS,RP8849
2,35.37,S01UN,S15BS,RP2741
2,36.25,S01UN,S15BS,RP7007
2,35.96,S01UN,S16MJ,RP8965
2,36.05,S01UN,S16MJ,RP2487
2,38.20,S01UN,S16MJ,RP5983
2,41.57,S01UN,S16MJ,RP9520
3,13.11,S01UN,S04PL,RP6789
3,16.23,S01UN,S05M11,RP8184
3,19.86,S01UN,S05M11,RP7445
3,18.56,S01UN,S06M10,RP7811
3,20.23,S01UN,S06M10,RP1838
3,14.19,S01UN,S06M10,RP6797
3,19.75,S01UN,S06M10,RP5370
3,15.44,S01UN,S06M10,RP7280
3,22.70,S01UN,S07KP,RP9244
3,20.53,S01UN,S08SP,RP2649
3,25.44,S01UN,S09AG,RP2893
3,25.42,S01UN,S09AG,RP5726
3,27.83,S01UN,S09AG,RP2223
3,23.84,S01UN,S10BS,RP6204
3,25.82,S01UN,S11FG,RP8996
3,30.25,S01UN,S11FG,RP8552
3,33.77,S01UN,S12KB,RP2247
3,25.73,S01UN,S12KB,RP5282
3,31.13,S01UN,S13SB,RP9490
3,31.95,S01UN,S13SB,RP3472
3,33.51,S01UN,S14DU,RP3914
3,38.85,S01UN,S14DU,RP1718
3,33.03,S01UN,S15BS,RP9811
3,39.73,S01UN,S15BS,RP6940
3,33.87,S01UN,S15BS,RP7657
3,35.86,S01UN,S15BS,RP2653
3,39.96,S01UN,S16MJ,RP9791
3,42.05,S01UN,S16MJ,RP1646
3,37.17,S01UN,S16MJ,RP4129
3,37.90,S01UN,S16MJ,RP6088
4,12.00,S01UN,S02UC,RP2765
4,17.43,S01UN,S04PL,RP2306
4,16.24,S01UN,S04PL,RP6992
4,18.63,S01UN,S05M11,RP3771
4,19.88,S01UN,S05M11,RP9303
4,16.88,S01UN,S05M11,RP7518
4,15.16,S01UN,S06M10,RP5214
4,18.29,S01UN,S06M10,RP8986
4,23.10,S01UN,S06M10,RP9806
4,22.34,S01UN,S06M10,RP8830
4,19.15,S01UN,S06M10,RP7936
4,23.25,S01UN,S07KP,RP8403
4,18.45,S01UN,S08SP,RP6951
4,22.90,S01UN,S09AG,RP5052
4,21.26,S01UN,S09AG,RP9832
4,24.25,S01UN,S09AG,RP6122
4,24.28,S01UN,S10BS,RP8869
4,30.77,S01UN,S11FG,RP5309
4,24.31,S01UN,S11FG,RP1608
4,27.39,S01UN,S12KB,RP9111
4,29.03,S01UN,S12KB,RP7193
4,33.42,S01UN,S12KB,RP6021
4,36.90,S01UN,S13SB,RP8485
4,30.26,S01UN,S14DU,RP4129
4,39.63,S01UN,S15BS,RP3913
4,40.36,S01UN,S15BS,RP8547
4,33.50,S01UN,S15BS,RP7476
4,37.00,S01UN,S15BS,RP7166
4,39.27,S01UN,S16MJ,RP6722
4,38.91,S01UN,S16MJ,RP7180
4,43.88,S01UN,S16MJ,RP1913
4,40.39,S01UN,S16MJ,RP7784
5,12.52,S01UN,S04PL,RP3386
5,17.74,S01UN,S04PL,RP5003
5,22.99,S01UN,S05M11,RP9693
5,21.59,S01UN,S05M11,RP8108
5,15.41,S01UN,S05M11,RP5801
5,17.59,S01UN,S06M10,RP5103
5,19.07,S01UN,S06M10,RP5626
5,24.39,S01UN,S06M10,RP2041
5,24.91,S01UN,S06M10,RP4104
5,18.37,S01UN,S06M10,RP9041
5,26.96,S01UN,S07KP,RP7334
5,22.52,S01UN,S08SP,RP2450
5,22.55,S01UN,S09AG,RP8426
5,29.81,S01UN,S09AG,RP4878
5,22.21,S01UN,S09AG,RP2408
5,27.34,S01UN,S11FG,RP9407
5,34.40,S01UN,S12KB,RP6469
5,32.89,S01UN,S12KB,RP6936
5,38.52,S01UN,S13SB,RP6074
5,35.14,S01UN,S13SB,RP8721
5,32.06,S01UN,S14DU,RP6688
5,37.46,S01UN,S14DU,RP4390
5,38.70,S01UN,S15BS,RP2545
5,33.87,S01UN,S15BS,RP8420
5,37.75,S01UN,S15BS,RP8178
5,38.40,S01UN,S15BS,RP4486
5,40.46,S01UN,S16MJ,RP6529
5,43.52,S01UN,S16MJ,RP5450
5,43.28,S01UN,S16MJ,RP1572
5,35.06,S01UN,S16MJ,RP2125
6,19.97,S01UN,S04PL,RP9969
6,21.06,S01UN,S05M11,RP2824
6,19.36,S01UN,S05M11,RP6997
6,18.81,S01UN,S05M11,RP7674
6,21.98,S01UN,S06M10,RP4525
6,18.42,S01UN,S06M10,RP1513
6,23.05,S01UN,S06M10,RP6513
6,24.15,S01UN,S06M10,RP6547
6,21.33,S01UN,S06M10,RP7518
6,24.69,S01UN,S07KP,RP7814
6,29.36,S01UN,S08SP,RP5880
6,23.23,S01UN,S09AG,RP2699
6,30.89,S01UN,S09AG,RP5836
6,23.63,S01UN,S09AG,RP6354
6,32.33,S01UN,S10BS,RP2411
6,34.06,S01UN,S11FG,RP1391
6,33.05,S01UN,S12KB,RP1015
6,30.63,S01UN,S12KB,RP2110
6,33.50,S01UN,S13SB,RP7895
6,37.55,S01UN,S13SB,RP7665
6,39.68,S01UN,S14DU,RP6640
6,41.37,S01UN,S14DU,RP9046
6,43.28,S01UN,S15BS,RP7523
6,40.23,S01UN,S15BS,RP6182
6,43.29,S01UN,S15BS,RP2198
6,40.96,S01UN,S15BS,RP3502
6,42.44,S01UN,S16MJ,RP1080
6,36.98,S01UN,S16MJ,RP7363
6,44.64,S01UN,S16MJ,RP7988
6,43.04,S01UN,S16MJ,RP8110
7,21.96,S01UN,S04PL,RP5840
7,16.80,S01UN,S04PL,RP6611
7,23.77,S01UN,S05M11,RP4824
7,23.39,S01UN,S05M11,RP5590
7,21.34,S01UN,S06M10,RP9080
7,24.55,S01UN,S06M10,RP7690
7,21.00,S01UN,S06M10,RP9282
7,18.31,S01UN,S06M10,RP1691
7,26.53,S01UN,S06M10,RP7750
7,22.25,S01UN,S07KP,RP8317
7,24.06,S01UN,S08SP,RP6666
7,25.92,S01UN,S09AG,RP9760
7,27.02,S01UN,S09AG,RP3947
7,24.77,S01UN,S09AG,RP7284
7,29.02,S01UN,S10BS,RP4561
7,36.90,S01UN,S11FG,RP9413
7,29.67,S01UN,S11FG,RP4167
7,30.36,S01UN,S12KB,RP4129
7,36.09,S01UN,S12KB,RP4868
7,34.28,S01UN,S12KB,RP4848
7,37.37,S01UN,S13SB,RP7388
7,37.48,S01UN,S13SB,RP2586
7,39.40,S01UN,S14DU,RP2256
7,36.87,S01UN,S14DU,RP9523
7,39.33,S01UN,S15BS,RP5628
7,36.24,S01UN,S15BS,RP9288
7,41.93,S01UN,S15BS,RP3535
7,42.22,S01UN,S15BS,RP1671
7,44.44,S01UN,S16MJ,RP3393
7,41.35,S01UN,S16MJ,RP7281
7,46.48,S01UN,S16MJ,RP7643
7,44.78,S01UN,S16MJ,RP4967
8,15.99,S01UN,S02UC,RP7658
8,22.96,S01UN,S04PL,RP5466
8,17.77,S01UN,S04PL,RP5296
8,24.39,S01UN,S05M11,RP1950
8,25.65,S01UN,S05M11,RP6308
8,25.06,S01UN,S06M10,RP7155
8,26.19,S01UN,S06M10,RP5452
8,19.00,S01UN,S06M10,RP3351
8,20.86,S01UN,S06M10,RP2472
8,23.38,S01UN,S06M10,RP5496
8,28.44,S01UN,S07KP,RP9619
8,29.01,S01UN,S08SP,RP1378
8,25.95,S01UN,S09AG,RP7242
8,25.09,S01UN,S09AG,RP8848
8,28.79,S01UN,S09AG,RP4519
8,31.55,S01UN,S11FG,RP5736
8,35.25,S01UN,S11FG,RP3670
8,37.52,S01UN,S12KB,RP6630
8,32.09,S01UN,S12KB,RP4905
8,38.44,S01UN,S12KB,RP6370
8,40.32,S01UN,S13SB,RP1497
8,40.93,S01UN,S13SB,RP6330
8,38.39,S01UN,S14DU,RP8150
8,39.32,S01UN,S14DU,RP8079
8,37.18,S01UN,S15BS,RP8938
8,38.89,S01UN,S15BS,RP1544
8,45.78,S01UN,S15BS,RP4966
8,39.66,S01UN,S15BS,RP1343
8,46.80,S01UN,S16MJ,RP4313
8,46.22,S01UN,S16MJ,RP4334
8,43.96,S01UN,S16MJ,RP5003
8,40.02,S01UN,S16MJ,RP9725
9,22.63,S01UN,S04PL,RP5791
9,20.67,S01UN,S04PL,RP9116
9,22.94,S01UN,S05M11,RP6227
9,25.86,S01UN,S05M11,RP5136
9,18.42,S01UN,S05M11,RP7313
9,19.62,S01UN,S06M10,RP1391
9,22.64,S01UN,S06M10,RP8049
9,22.55,S01UN,S06M10,RP1481
9,27.44,S01UN,S06M10,RP7177
